x,abs
350.226,-0.03739
361.076,-0.04526
367.631,-0.06101
372.83,-0.08266
376.447,-0.11218
380.967,-0.15154
386.844,-0.23419
392.269,-0.32079
397.242,-0.41132
402.667,-0.49397
408.544,-0.58057
416.23,-0.65141
420.298,-0.74194
421.429,-0.78524
423.915,-0.83641
425.497,-0.8797
426.627,-0.90726
427.08,-0.93087
428.436,-0.96827
430.018,-1.00172
433.409,-0.99188
435.217,-0.96433
436.573,-0.92694
437.929,-0.89348
439.512,-0.84625
441.094,-0.80689
444.259,-0.7813
446.293,-0.78918
449.005,-0.81279
449.684,-0.84034
451.492,-0.86199
454.204,-0.88364
457.369,-0.85215
460.986,-0.77737
463.246,-0.67897
465.054,-0.5845
466.863,-0.4861
468.671,-0.39164
470.931,-0.28143
473.192,-0.18696
476.356,-0.08856
483.137,-0.01771
488.562,0.00197
492.857,0.00197
497.152,0.00197
499.638,0.00197
