x,abs
2.47154,4.936e+04
2.55529,2025.8
2.56227,496.6
2.57099,287.05
2.57797,198.4
2.58321,150.84
2.58495,78.33
2.58844,66.29
2.59019,55.44
2.59368,45.82
2.59891,32.434
2.6024,25.863
2.60763,21.889
2.61112,18.09
2.61636,14.085
2.62334,10.709
2.63206,8.642
2.6373,6.81
2.64602,5.239
2.65474,4.0795
2.66172,3.292
2.67219,2.444
2.68266,1.9258
2.69138,1.5356
2.70534,1.1815
2.7193,0.9765
2.74198,1.087
2.76292,1.2245
2.78037,1.396
2.79433,1.4817
2.81003,1.2245
2.82923,0.9882
2.84842,0.7603
2.85889,0.585
2.87285,0.5131
2.89029,0.6669
2.90425,0.8983
2.91996,1.21
2.93915,1.5356
2.96009,1.8144
2.98626,2.044
3.01767,2.2218
3.04907,2.4733
3.08048,3.1016
3.10491,3.9834
3.13457,5.116
3.16947,6.57
3.19913,7.856
3.23053,9.394
3.27067,11.503
3.30905,16.642
3.34046,21.374
3.38233,26.487
3.42421,34.017
3.45213,39.716
3.49226,44.74
3.52366,48.63
3.53413,57.46
3.58124,68.71
3.64231,104.26
3.70338,208.08
3.71559,264.08
3.73479,415.31
3.75398,1051.9
3.75921,2074.7
3.76794,3504.5
3.76968,5.055e+04
3.8988,5.116e+04
