x,trans
501.471,1677.85
503.178,1562.1
504.035,1450.99
504.892,1335.24
505.749,1219.5
506.606,1103.76
508.313,988.01
510.021,872.26
512.154,761.14
515.563,650.02
520.672,552.78
530.032,524.96
536.417,446.23
543.228,362.87
553.014,321.17
563.224,302.61
573.435,274.79
583.645,246.98
593.427,279.35
598.952,376.55
601.924,487.65
604.47,598.75
607.016,714.48
610.423,635.76
612.131,524.64
613.413,408.9
615.971,297.78
622.357,214.42
632.565,228.27
640.644,297.68
649.575,325.43
656.811,237.44
666.171,204.99
676.381,200.32
684.885,269.73
690.41,362.31
693.171,434.05
695.507,503.49
696.779,568.3
698.476,658.57
699.747,753.47
