x,qeff
272.15,10.625
280.77,13.355
292.08,16.261
307.15,19.55
324.91,22.481
344.29,24.416
365.27,25.045
386.26,25.526
407.25,25.204
428.77,24.108
448.14,23.06
469.66,20.569
486.87,18.231
505.7,16.469
522.92,13.962
532.59,11.394
542.81,8.951
555.18,7.351
569.16,6.1536
584.22,5.0861
596.59,4.1507
605.73,3.3445
615.95,2.6779
624.01,2.0904
631,1.6844
637.45,1.3232
643.36,1.0395
649.8,0.8218
655.71,0.6456
661.09,0.50392
665.92,0.40092
670.75,0.31296
675.05,0.24121
679.88,0.18949
684.18,0.14886
687.94,0.11768
692.23,0.09186
696.53,0.07216
700.29,0.055974
704.04,0.043417
707.8,0.034324
712.1,0.026624
715.86,0.020782
719.08,0.016853
