x,emi
352.665,0.00372
363.001,0.00459
376.082,0.00383
384.965,0.00552
395.301,0.00558
398.531,0.01053
399.663,0.02207
400.958,0.05912
401.772,0.14723
402.75,0.2518
403.076,0.29874
404.055,0.41566
405.032,0.51448
406.654,0.60341
408.113,0.66682
408.925,0.72528
411.03,0.79281
412.814,0.88257
416.535,0.96986
419.12,0.98305
420.895,0.96083
423.154,0.94519
425.416,0.95426
426.867,0.91557
428.479,0.88676
431.062,0.87195
433.485,0.8802
434.775,0.85221
437.035,0.83658
440.427,0.85141
441.397,0.85801
444.304,0.85473
446.726,0.85803
449.147,0.84158
450.599,0.81194
452.696,0.79054
454.957,0.78315
456.408,0.75516
457.859,0.72717
460.44,0.68684
465.122,0.66627
466.896,0.63417
468.995,0.63007
471.093,0.62102
474.646,0.61445
477.388,0.57741
478.84,0.55107
480.29,0.51402
481.579,0.47533
483.029,0.42841
484.318,0.39548
485.446,0.36337
487.382,0.33868
489.319,0.32881
491.58,0.32799
494.002,0.3206
496.747,0.32061
501.269,0.31075
503.044,0.29594
505.143,0.28936
509.339,0.25727
511.761,0.24246
515.635,0.2219
521.284,0.17829
525.481,0.15443
529.194,0.14292
533.553,0.11495
538.557,0.09603
543.563,0.08865
550.829,0.0681
556.481,0.06401
562.294,0.05251
570.207,0.04514
576.829,0.05176
581.512,0.04437
588.133,0.04276
591.201,0.03536
593.624,0.04114
598.469,0.04034
605.252,0.04284
608.32,0.03133
614.457,0.03136
621.725,0.03798
625.762,0.03142
629.154,0.04296
632.222,0.03803
635.13,0.04711
639.328,0.03807
644.012,0.0488
